epoch,lr-Adam,step,train_loss
,0.0001,0,
0,,49,2.457141876220703
0,,99,1.4756793975830078
0,,149,0.9498259425163269
0,,199,0.8673762083053589
0,,249,0.47405365109443665
0,,299,0.7065777778625488
0,,349,0.7534427642822266
0,,399,0.5706388354301453
0,,449,0.5610132217407227
0,,499,0.5245511531829834
0,,549,0.6966304779052734
0,,599,0.4062653183937073
0,,649,0.4058290719985962
0,,699,0.32909318804740906
0,,749,0.38222941756248474
0,,799,0.36480268836021423
0,,849,0.4935588836669922
0,,899,0.44118452072143555
